SMILES Labelled
"CN1C(=O)C(CC2=CC=CC=C2)/[N+:23](=[CH:22]/[CH:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)C12CCCC2.C[C-:10]([C:61]#[N:62])[C:71]1=[CH:72][CH:73]=[CH:74][CH:85]=[CH:84]1>>CN1C(=O)C(CC2=CC=CC=C2)[N:23]([CH:22]=[CH:21][CH:20]([C:10](C)([C:61]#[N:62])[C:71]2=[CH:72][CH:73]=[CH:74][CH:85]=[CH:84]2)[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)C12CCCC2 10=20;20,21=21,22;22,23=23"
"C1=CC2=C(C=C1)[S:71](=[O:72])(=[O:92])[CH-:10][S:61]2(=[O:62])=[O:82].CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[C:22](=[O:23])[N:51](C)C(=O)[N:52](C)[C:32]2=[O:33])[CH:46]=[CH:45]1>>CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([CH:10]2[S:61](=[O:62])(=[O:82])C3=C(C=CC=C3)[S:71]2(=[O:72])=[O:92])[C:21]2=[C:22]([O-:23])[N:51](C)C(=O)[N:52](C)[C:32]2=[O:33])[CH:46]=[CH:45]1 10=20;20,21=21,22;22,23=23"
"C/[N:10]=[C:11](/C(F)(F)F)[O-:12].N#C[C:33]1=[CH:32][C:21]([N+:22]([O-])=[O:23])=[CH:20][C:41]2=[N+:42]([O-])O[N:35]=[C:34]12>>C[N:10]([C:11](C(F)(F)F)=[O:12])[CH:20]1[C:21](=[N+:22]([O-])[O-:23])[CH:32]=[C:33](C#N)[C:34]2=[N:35]O[N+:42]([O-])=[C:41]12 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C[Si](C)(C)[Si:63]([Si](C)(C)C)([Si](C)(C)C)[O:12][C:11](C)=[CH2:10].O=[N+]([O-])[C:43]1=[CH:42][C:21]([N+:22](=[O:23])[O-:33])=[CH:20][S:44]1>>C[Si](C)(C)[Si:63]([Si](C)(C)C)([Si](C)(C)C)[O+:12]=[C:11](C)[CH2:10][CH:20]1[C:21](=[N+:22]([O-:23])[O-:33])[CH:42]=[C:43]([N+](=O)[O-])[S:44]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"CC[Si:63](C)(CC)[CH2:62][C:11](C1=CC=CC=C1)(C1=CC=CC=C1)[H:10].N#C[C:20]1=[C:21](C#N)[C:22](=[O:23])[C:30](Cl)=[C:31](Cl)[C:32]1=[O:33]>>CC[Si:63](C)(CC)[CH2:62][C+:11](C1=CC=CC=C1)C1=CC=CC=C1.N#C[C:20]1([H:10])[C:21](C#N)=[C:22]([O-:23])[C:30](Cl)=[C:31](Cl)[C:32]1=[O:33] 10,11=10,20;20,21=21,22;22,23=23"
"COC1=CC2=C(C=C1)[N+:23](C)=[CH:22][C:21]2=[CH:20][C:31]1=[CH:32][N:33](C)[C:42]2=[C:41]1C=C(OC)C=C2.C[C:15]1=[CH:14][CH:13]=[C:12]([C:11]([H:10])([C:72]2=[CH:73][CH:74]=[C:75](C)[CH:84]=[CH:83]2)[C:92]2=[CH:93][CH:94]=[C:95](C)[CH:104]=[CH:103]2)[CH:63]=[CH:64]1>>COC1=CC2=C(C=C1)[N:23](C)[CH:22]=[C:21]2[CH:20]([H:10])[C:31]1=[CH:32][N:33](C)[C:42]2=[C:41]1C=C(OC)C=C2.C[C+:15]1[CH:14]=[CH:13][C:12](=[C:11]([C:72]2=[CH:73][CH:74]=[C:75](C)[CH:84]=[CH:83]2)[C:92]2=[CH:93][CH:94]=[C:95](C)[CH:104]=[CH:103]2)[CH:63]=[CH:64]1 10,11=10,20;12,13=11,12;14,15=13,14;20,21=21,22;22,23=23"
"C1=CC=C([C:22](/[CH:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)=[O:23])C=C1.C[S+](C)[CH-:10]C1=CC=C([N+](=O)[O-])C=C1>>C[S+](C)[CH:10](C1=CC=C([N+](=O)[O-])C=C1)[CH:20]([CH:21]=[C:22](C1=CC=CC=C1)[O-:23])[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1 10=20;20,21=21,22;22,23=23"
"CC[O:72][C:11](=[CH:10][P+:61](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[O-:12].[CH:20]1=[CH:21][C:22](=[O:23])[CH:30]=[CH:31][C:32]1=[O:33]>>CC[O:72][C:11]([CH:10]([CH:20]1[CH:21]=[C:22]([O-:23])[CH:30]=[CH:31][C:32]1=[O:33])[P+:61](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)=[O:12] 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C[N:21](C1=CC=CC=C1)[S:20]C(F)(F)F.C[O:86][C:85]1=[CH:84][CH:83]=[C:82]([Si:11]([H:10])([CH3:62])[CH3:72])[CH:94]=[CH:93]1>>C[N-:21]C1=CC=CC=C1.C[O:86][C:85]1=[CH:84][CH:83]=[C:82]([Si+:11]([CH3:62])[CH3:72])[CH:94]=[CH:93]1.FC(F)(F)[S:20][H:10] 10,11=10,20;20,21=21"
"CO[C:44]1=[CH:43][CH:42]=[C:41](/[CH:20]=[N:21]/[S:32](C2=CC=C(C)C=C2)(=[O:33])=[O:34])[CH:46]=[CH:45]1.C[Si](C)(C)OC(C1=CC=CC=C1)(C1=CC=CC=C1)[C@@H]1CCC[N:12]1/[CH:11]=[CH:10]/C1=CC=CC=C1>>CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([CH:10](C2=CC=CC=C2)[CH:11]=[N+:12]2CCC[C@H]2C(O[Si](C)(C)C)(C2=CC=CC=C2)C2=CC=CC=C2)[N-:21][S:32](C2=CC=C(C)C=C2)(=[O:33])=[O:34])[CH:46]=[CH:45]1 10,11=10,20;12=11,12;20,21=21"
"[C:20](=[S:21])=[S:31].[O-:10][C:61]1=[C:62]([N+:63](=[O:64])[O-:74])[CH:83]=[CH:84][CH:85]=[CH:86]1>>[O:10]([C:20]([S-:21])=[S:31])[C:61]1=[C:62]([N+:63](=[O:64])[O-:74])[CH:83]=[CH:84][CH:85]=[CH:86]1 10=20;20,21=21"
C[Si:71](C)(C)[CH-:10][N+:61]#[N:62].Cl[C:44]1=[CH:43][CH:42]=[C:41]([C+:20]2CC[CH:32]=[CH:31]2)[CH:52]=[CH:53]1>>C[Si:71](C)(C)[CH:10]([C:20]1([C:41]2=[CH:42][CH:43]=[C:44](Cl)[CH:53]=[CH:52]2)CC[CH:32]=[CH:31]1)[N+:61]#[N:62] 10=20
"C[N+:21](C1=CC=CC=C1)=[CH2:20].[O-:10][C:61]1=[C:62]([N+:63](=[O:64])[O-:74])[CH:83]=[CH:84][CH:85]=[CH:86]1>>C[N:21](C1=CC=CC=C1)[CH2:20][O:10][C:61]1=[C:62]([N+:63](=[O:64])[O-:74])[CH:83]=[CH:84][CH:85]=[CH:86]1 10=20;20,21=21"
"CC1=CC=C([S:32](/[N:21]=[CH:20]/[C:41]2=[CH:42][CH:43]=[C:44](N(C)C)[CH:45]=[CH:46]2)(=[O:33])=[O:34])C=C1.C[N:62]1[CH:61]=[N:10][CH:71]=[CH:72]1>>CC1=CC=C([S:32]([N-:21][CH:20]([N+:10]2=[CH:61][N:62](C)[CH:72]=[CH:71]2)[C:41]2=[CH:42][CH:43]=[C:44](N(C)C)[CH:45]=[CH:46]2)(=[O:33])=[O:34])C=C1 10=20;20,21=21"
"C[C:44]1=[CH:43][CH:42]=[C:41](/[CH:20]=[CH:21]/[N+:22](=[O:23])[O-:33])[CH:46]=[CH:45]1.C[Si:11](C)([H:10])[CH2:62][Si:63](C)(C)C>>C[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([H:10])[CH:21]=[N+:22]([O-:23])[O-:33])[CH:46]=[CH:45]1.C[Si+:11](C)[CH2:62][Si:63](C)(C)C 10,11=10,20;20,21=21,22;22,23=23"
CO[C:34]1=[CH:33][CH:32]=[C:31]([C+:20]([C:41]2=[CH:42][CH:43]=[C:44](C)[CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)[CH:36]=[CH:35]1.[N-]=[N+]=NC[C@@H]1CCC[NH:10]1>>CO[C:34]1=[CH:33][CH:32]=[C:31]([C:20]([NH+:10]2CCC[C@H]2CN=[N+]=[N-])([C:41]2=[CH:42][CH:43]=[C:44](C)[CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)[CH:36]=[CH:35]1 10=20
"C[N+:21](C)=[CH:20][C:31]1=[CH:32][CH:33]=[C:34](C)[CH:35]=[CH:36]1.C[N:12]1[CH:11]=[N:10][CH:61]=[CH:62]1>>C[N+:12]1=[CH:11][N:10]([CH:20]([N:21](C)C)[C:31]2=[CH:32][CH:33]=[C:34](C)[CH:35]=[CH:36]2)[CH:61]=[CH:62]1 10,11=10,20;12=11,12;20,21=21"
"C1=C[C:14](=[N+:15]([O-:16])[O-:67])[CH:13]=[CH:12][C:11]1=[O:10].CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[CH:22]=[C:23](C)[C:24](=[O:25])[C:33](C)=[CH:32]2)[CH:46]=[CH:45]1>>CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([O:10][C:11]2=[CH:12][CH:13]=[C:14]([N+:15](=[O:16])[O-:67])C=C2)[C:21]2=[CH:22][C:23](C)=[C:24]([O-:25])[C:33](C)=[CH:32]2)[CH:46]=[CH:45]1 10,11=10,20;12,13=11,12;14,15=13,14;16=15,16;20,21=21,22;22,23=23,24;24,25=25"
"C1=CC=C(/[CH:10]=[C:11](/C2=CC=CC=C2)[O-:12])C=C1.F[C:33]1=[CH:34][C:35](F)=[CH:36][C:31]([CH+:20][C:41]2=[CH:42][CH:43]=[CH:44][C:45](F)=[CH:46]2)=[CH:32]1>>F[C:33]1=[CH:34][C:35](F)=[CH:36][C:31]([CH:20]([CH:10](C2=CC=CC=C2)[C:11](C2=CC=CC=C2)=[O:12])[C:41]2=[CH:42][CH:43]=[CH:44][C:45](F)=[CH:46]2)=[CH:32]1 10,11=10,20;12=11,12"
"C1=CC=C([C:62](=[N:61][CH:10]=[C:11]=[N-:12])[C:63]2=[CH:64][CH:65]=[CH:66][CH:74]=[CH:75]2)C=C1.CN1C(=O)C(CC2=CC=CC=C2)/[N+:23](=[CH:22]/[CH:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)C1/C=C/C1=CC=CC=C1>>CN1C(=O)C(CC2=CC=CC=C2)[N:23]([CH:22]=[CH:21][CH:20]([CH:10]([C:11]#[N:12])[N:61]=[C:62](C2=CC=CC=C2)[C:63]2=[CH:64][CH:65]=[CH:66][CH:74]=[CH:75]2)[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)C1/C=C/C1=CC=CC=C1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C1=CC=C(/[CH:10]=[CH:11]/[N:12]2CCCCC2)C=C1.CC(C)(C)[O:33][C:22](/[N:21]=[CH:20]/C1=CC=CC=C1)=[O:23]>>CC(C)(C)[O:33][C:22](=[N:21][CH:20](C1=CC=CC=C1)[CH:10](C1=CC=CC=C1)[CH:11]=[N+:12]1CCCCC1)[O-:23] 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C1[CH:10]=[CH:11][CH:62]=[CH:63]1.CO[C:34]1=[CH:33][CH:32]=[C:31](/[CH:20]=[C:21](\C[N+]2=CC=C(N(C)C)C=C2)[C:22](C)=[O:23])[CH:43]=[CH:44]1>>CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([CH:10]2C[CH:63]=[CH:62][CH+:11]2)[C:21](C[N+]2=CC=C(N(C)C)C=C2)=[C:22](C)[O-:23])[CH:43]=[CH:44]1 10,11=10,20;20,21=21,22;22,23=23"
"FC(F)(F)[C:53]1=[CH:54][CH:55]=[CH:56][C:51]([C+:20]([C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[C:41]2=[CH:42][CH:43]=[CH:44][CH:45]=[CH:46]2)=[CH:52]1.[CH:10](=[N+:11]=[N-:12])[C:62]1=[CH:63][CH:64]=[CH:65][CH:74]=[CH:73]1>>FC(F)(F)[C:53]1=[CH:54][CH:55]=[CH:56][C:51]([C:20]([CH:10]([N+:11]#[N:12])[C:62]2=[CH:63][CH:64]=[CH:65][CH:74]=[CH:73]2)([C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[C:41]2=[CH:42][CH:43]=[CH:44][CH:45]=[CH:46]2)=[CH:52]1 10,11=10,20;12=11,12"
"CN(C)[C:34]1=[CH:33][CH:32]=[C:31]([C+:20]([C:41]2=[CH:42][CH:43]=[CH:44][CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)[CH:36]=[CH:35]1.COC1=CC=C(/[CH:10]=[C:11](/[N:12]2CCCC2)[C:62]2=[CH:63][CH:64]=[CH:65][CH:74]=[CH:73]2)C=C1>>COC1=CC=C([CH:10]([C:11](=[N+:12]2CCCC2)[C:62]2=[CH:63][CH:64]=[CH:65][CH:74]=[CH:73]2)[C:20]([C:31]2=[CH:32][CH:33]=[C:34](N(C)C)[CH:35]=[CH:36]2)([C:41]2=[CH:42][CH:43]=[CH:44][CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)C=C1 10,11=10,20;12=11,12"
"C1=CC=C([C:22]2=[O+:23][C:32]3=[C:31](C=CC=C3)[CH:20]=[CH:21]2)C=C1.C1=CC=C([P:11](C2=CC=CC=C2)(C2=CC=CC=C2)=[CH:10][CH:61]=[O:62])C=C1>>C1=CC=C([P+:11](C2=CC=CC=C2)(C2=CC=CC=C2)[CH:10]([CH:20]2[CH:21]=[C:22](C3=CC=CC=C3)[O:23][C:32]3=[C:31]2C=CC=C3)[CH:61]=[O:62])C=C1 10,11=10,20;20,21=21,22;22,23=23"
"CO[C:73]1=[CH:72][C:61]2=[C:62]([NH:12][C:11](C)=[CH:10]2)[CH:63]=[CH:64]1.Cl[C:20]1=[C:21](Cl)[C:22](=[O:23])[C:32](=[O:33])[C:31](Cl)=[C:30]1Cl>>CO[C:73]1=[CH:72][C:61]2=[C:62]([NH+:12]=[C:11](C)[CH:10]2[C:20]2(Cl)[C:21](Cl)=[C:22]([O-:23])[C:32](=[O:33])[C:31](Cl)=[C:30]2Cl)[CH:63]=[CH:64]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C1CC[N+:23](=[CH:22]/[CH:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)C1.C[Si:63](C)(C)[O:12][C:11]1=[CH:10]CC[O:72]1>>C[Si:63](C)(C)[O+:12]=[C:11]1[CH:10]([CH:20]([CH:21]=[CH:22][N:23]2CCCC2)[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)CC[O:72]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"CC1=CC=[C:10]([B-:11]([F:62])([F:72])[F:82])O1.CO[C:32]1=[N:33][C:34]2=[N:35]O[N+:42]([O-])=[C:41]2[CH:20]=[N:21]1>>CO[C:32]1=[N:33][C:34]2=[N:35]O[N+:42]([O-])=[C:41]2[CH:20]([C:10]2=CC=C(C)O2)[N-:21]1.[B:11]([F:62])([F:72])[F:82] 10,11=10,20;20,21=21"
"CCCN[C:62]([C@@H:61]1CCC[NH:10]1)=[O:63].CO[C:54]1=[CH:53][CH:52]=[C:51]([CH:20]=[C:21]([S:32](C2=CC=CC=C2)(=[O:33])=[O:34])[S:41](C2=CC=CC=C2)(=[O:42])=[O:43])[CH:55]=[CH:56]1>>CCCN[C:62]([C@@H:61]1CCC[NH+:10]1[CH:20]([C-:21]([S:32](C1=CC=CC=C1)(=[O:33])=[O:34])[S:41](C1=CC=CC=C1)(=[O:42])=[O:43])[C:51]1=[CH:52][CH:53]=[C:54](OC)[CH:56]=[CH:55]1)=[O:63] 10=20;20,21=21"
"CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[C:22](=[O:23])[O:39]C(C)(C)[O:33][C:31]2=[O:32])[CH:46]=[CH:45]1.FC1=CC(F)=C([B-:11](C2=C(F)C=C(F)C=C2F)(C2=C(F)C=C(F)C=C2F)[H:10])C(F)=C1>>CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([H:10])[C:21]2=[C:22]([O-:23])[O:39]C(C)(C)[O:33][C:31]2=[O:32])[CH:46]=[CH:45]1.FC1=CC(F)=C([B:11](C2=C(F)C=C(F)C=C2F)C2=C(F)C=C(F)C=C2F)C(F)=C1 10,11=10,20;20,21=21,22;22,23=23"
"CC(C)[C:11](=[CH2:10])[O:12][Si:63](C)(C)C.Cl[C:31]1=[C:32](Cl)[C:33](=[O:34])[C:42](Cl)=[C:41](Cl)[C:20]1=[O:21]>>CC(C)[C:11]([CH2:10][C:20]1([O-:21])[C:31](Cl)=[C:32](Cl)[C:33](=[O:34])[C:42](Cl)=[C:41]1Cl)=[O+:12][Si:63](C)(C)C 10,11=10,20;12=11,12;20,21=21"
"C1=CC=C([S:32]([CH:21]=[CH2:20])(=[O:33])=[O:34])C=C1.C1C[N:62]2CC[NH:12][C:11]2=[N:10]1>>C1=CC=C([S:32]([CH-:21][CH2:20][N:10]2CC[N:62]3CC[NH+:12]=[C:11]23)(=[O:33])=[O:34])C=C1 10,11=10,20;12=11,12;20,21=21"
"C[O:37][C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][CH:41]=[CH:42][C:53]2=[CH:54][CH:55]=[C:56]([O:59]C)[CH:57]=[CH:58]2)[CH:36]=[CH:35]1.[O:10]=[C:11]1[C:12](=[N+:13]([O-:14])[O-:64])[CH:73]=[CH:74][CH:75]=[CH:76]1>>C[O:37][C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([O:10][C:11]2=[C:12]([N+:13](=[O:14])[O-:64])[CH:73]=[CH:74][CH:75]=[CH:76]2)[CH:41]=[CH:42][C:53]2=[CH:54][CH:55]=[C:56]([O:59]C)[CH:57]=[CH:58]2)[CH:36]=[CH:35]1 10,11=10,20;12,13=11,12;14=13,14"
"C1=CC=C(CC2C[O:72][C:61](=[O:62])[N-:10]2)C=C1.C1C[CH:20]=[CH:21][C:22](=[O:23])C1>>C1=CC=C(CC2C[O:72][C:61](=[O:62])[N:10]2[CH:20]2CCC[C:22]([O-:23])=[CH:21]2)C=C1 10=20;20,21=21,22;22,23=23"
"C1=CC=C([S:32]([N:21]([F:20])[S:42](C2=CC=CC=C2)(=[O:43])=[O:44])(=[O:33])=[O:34])C=C1.C1=CC=C([Sn:63](C2=CC=CC=C2)(C2=CC=CC=C2)[CH2:62][CH:11]=[CH2:10])C=C1>>C1=CC=C([S:32]([N-:21][S:42](C2=CC=CC=C2)(=[O:43])=[O:44])(=[O:33])=[O:34])C=C1.C1=CC=C([Sn:63](C2=CC=CC=C2)(C2=CC=CC=C2)[CH2:62][CH+:11][CH2:10][F:20])C=C1 10,11=10,20;20,21=21"
"CC[O:33][C:31](/[CH:20]=[C:21](C)/[N:22]=[N:23]/[C:24](NC1=CC=CC=C1)=[O:25])=[O:32].CC[O:72][C:61](/[CH:10]=[CH:11]/[N:12](C)C)=[O:62]>>CC[O:33][C:31]([CH:20]([CH:10]([CH:11]=[N+:12](C)C)[C:61](=[O:62])[O:72]CC)[C:21](C)=[N:22][N:23]=[C:24](NC1=CC=CC=C1)[O-:25])=[O:32] 10,11=10,20;12=11,12;20,21=21,22;22,23=23,24;24,25=25"
"CC[N+](CC)(CC)[BH2-:11][H:10].C[C:34]1=[CH:33][CH:32]=[C:31]([C+:20]([C:41]2=[CH:42][CH:43]=[C:44](C)[CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[C:54](C)[CH:55]=[CH:56]2)[CH:36]=[CH:35]1>>CC[N+](CC)(CC)[BH2:11].C[C:34]1=[CH:33][CH:32]=[C:31]([C:20]([H:10])([C:41]2=[CH:42][CH:43]=[C:44](C)[CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[C:54](C)[CH:55]=[CH:56]2)[CH:36]=[CH:35]1 10,11=10,20"
"C[Si:63](C)(C)[O:12][C:11](=[CH2:10])[C:62]1=[CH:63][CH:64]=[CH:65][CH:74]=[CH:73]1.Cl[C:33]1=[CH:34][CH:35]=[CH:36][C:31]([C+:20]([C:41]2=[CH:42][C:43](Cl)=[CH:44][CH:45]=[CH:46]2)[C:51]2=[CH:52][C:53](Cl)=[CH:54][CH:55]=[CH:56]2)=[CH:32]1>>C[Si:63](C)(C)[O+:12]=[C:11]([CH2:10][C:20]([C:31]1=[CH:32][C:33](Cl)=[CH:34][CH:35]=[CH:36]1)([C:41]1=[CH:42][C:43](Cl)=[CH:44][CH:45]=[CH:46]1)[C:51]1=[CH:52][C:53](Cl)=[CH:54][CH:55]=[CH:56]1)[C:62]1=[CH:63][CH:64]=[CH:65][CH:74]=[CH:73]1 10,11=10,20;12=11,12"
"C[Ge:63](C)(C)[CH2:62][CH:11]([H:10])[CH2:72][Pb:73](C)(C)C.N#C[C:20]1=[C:21](C#N)[C:22](=[O:23])[C:30](Cl)=[C:31](Cl)[C:32]1=[O:33]>>C[Ge:63](C)(C)[CH2:62][CH+:11][CH2:72][Pb:73](C)(C)C.N#C[C:20]1([H:10])[C:21](C#N)=[C:22]([O-:23])[C:30](Cl)=[C:31](Cl)[C:32]1=[O:33] 10,11=10,20;20,21=21,22;22,23=23"
"C1CC[N+:21](=[CH:20][C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)CC1.C[C:61]1=[N:10][CH:64]=[C:63](C)[NH:62]1>>C[C:61]1=[N+:10]([CH:20]([N:21]2CCCCC2)[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[CH:64]=[C:63](C)[NH:62]1 10=20;20,21=21"
"CC(C)(C)[C:23]1=[CH:22][C:21](=[CH:20][C:41]2=[CH:42][C:43](F)=[CH:44][CH:45]=[CH:46]2)[CH:32]=[C:33](C(C)(C)C)[C:24]1=[O:25].C[N:10](C)[NH:61]C>>CC(C)(C)[C:23]1=[C:24]([O-:25])[C:33](C(C)(C)C)=[CH:32][C:21]([CH:20]([N+:10](C)(C)[NH:61]C)[C:41]2=[CH:42][C:43](F)=[CH:44][CH:45]=[CH:46]2)=[CH:22]1 10=20;20,21=21,22;22,23=23,24;24,25=25"
"C1C[C:11](=[CH2:10])C1.C[C:22](/[CH:21]=[CH:20]/[C:31]1=[CH:32][CH:33]=[C:34]([N+](=O)[O-])[CH:35]=[CH:36]1)=[O:23]>>C[C:22](=[CH:21][CH:20]([CH2:10][C+:11]1CCC1)[C:31]1=[CH:32][CH:33]=[C:34]([N+](=O)[O-])[CH:35]=[CH:36]1)[O-:23] 10,11=10,20;20,21=21,22;22,23=23"
"C1CN2CCC[C:35]3=[C:34]2[C:33](=[CH:32][C:31]([CH+:20][C:41]2=[CH:42][C:43]4=[C:44]5N(CCC4)CCC[C:45]5=[CH:46]2)=[CH:36]3)C1.CCCC[Sn](CCCC)(CCCC)[C:13]1=[CH:12][CH:11]=[CH:10][O:14]1>>CCCC[Sn](CCCC)(CCCC)[C:13]1=[O+:14][CH:10]([CH:20]([C:31]2=[CH:36][C:35]3=[C:34]4N(CCC[C:33]4=[CH:32]2)CCC3)[C:41]2=[CH:42][C:43]3=[C:44]4N(CCC3)CCC[C:45]4=[CH:46]2)[CH:11]=[CH:12]1 10,11=10,20;12,13=11,12;14=13,14"
"CC[C:12]1=[C:13](C)[NH:14][CH:10]=[C:11]1C.N#C[C:20]1=[C:21](C#N)[C:22](=[O:23])[C:30](Cl)=[C:31](Cl)[C:32]1=[O:33]>>CC[C:12]1=[C:11](C)[CH:10]([C:20]2(C#N)[C:21](C#N)=[C:22]([O-:23])[C:30](Cl)=[C:31](Cl)[C:32]2=[O:33])[NH+:14]=[C:13]1C 10,11=10,20;12,13=11,12;14=13,14;20,21=21,22;22,23=23"
"CC(C)(C)[C:23]1=[CH:22][C:21](=[CH:20]/[CH:41]=[CH:42]/C2=CC=CC=C2)[CH:32]=[C:33](C(C)(C)C)[C:24]1=[O:25].C[N:10]1CCCC1>>CC(C)(C)[C:23]1=[C:24]([O-:25])[C:33](C(C)(C)C)=[CH:32][C:21]([CH:20]([N+:10]2(C)CCCC2)/[CH:41]=[CH:42]/C2=CC=CC=C2)=[CH:22]1 10=20;20,21=21,22;22,23=23,24;24,25=25"
"C1=CC=C([C:42](=[CH:41][CH+:20][C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[C:53]2=[CH:54][CH:55]=[CH:56][CH:57]=[CH:58]2)C=C1.C[Si:63](C)(C)[O:12][C:11]1=[CH:10]CCCC1>>C[Si:63](C)(C)[O+:12]=[C:11]1CCCC[CH:10]1[CH:20]([C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1)[CH:41]=[C:42](C1=CC=CC=C1)[C:53]1=[CH:54][CH:55]=[CH:56][CH:57]=[CH:58]1 10,11=10,20;12=11,12"
"C1C[CH:32]=[CH:31][C+:20]1[C:41]1=[CH:42][CH:43]=[CH:44][CH:53]=[CH:52]1.C[Si:63]1(C)C[CH:11]([H:10])[CH2:62]1>>C1C[CH:32]=[CH:31][C:20]1([H:10])[C:41]1=[CH:42][CH:43]=[CH:44][CH:53]=[CH:52]1.C[Si:63]1(C)C[CH+:11][CH2:62]1 10,11=10,20"
"C1CC[CH:63]=[CH:62][CH:11]=[CH:10]C1.CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[CH:22]=[C:23](C3=CC=CC=C3)[C:24](=[O:25])[C:33](C3=CC=CC=C3)=[CH:32]2)[CH:46]=[CH:45]1>>CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([CH:10]2CCCC[CH:63]=[CH:62][CH+:11]2)[C:21]2=[CH:22][C:23](C3=CC=CC=C3)=[C:24]([O-:25])[C:33](C3=CC=CC=C3)=[CH:32]2)[CH:46]=[CH:45]1 10,11=10,20;20,21=21,22;22,23=23,24;24,25=25"
"CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[CH:22]=[C:23](Br)[C:24](=[O:25])[C:33](Br)=[CH:32]2)[CH:46]=[CH:45]1.C[C:11]1=[CH:10][C:61]2=[C:62]([NH:12]1)[CH:63]=[CH:64][CH:73]=[CH:72]2>>CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([CH:10]2[C:11](C)=[NH+:12][C:62]3=[C:61]2[CH:72]=[CH:73][CH:64]=[CH:63]3)[C:21]2=[CH:22][C:23](Br)=[C:24]([O-:25])[C:33](Br)=[CH:32]2)[CH:46]=[CH:45]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23,24;24,25=25"
