SMILES Labelled,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"[B-]([O:10]CCC[O+:21]=[C:20](C)C)(F)(F)F>>[B-]([O+]1CCCOC1(C)C)(F)(F)F 10=20;20,21=21",Lone to pi*,,,,,
"[B-]([O:10]CC[N+:21](=[C:20](C)C)C)(F)(F)F>>[B-]([O+]1CCN(C1(C)C)C)(F)(F)F 10=20;20,21=21",Lone to pi*,,,,,
"[B-]([O:10]C)(F)(F)F.C[C:20](=[N+:21](C)C)C>>[B-]([O+](C)C(C)(C)N(C)C)(F)(F)F 10=20;20,21=21",Lone to pi*,,,,,
"[B-]([O+:21]1CCC[O:10][C:20]1(C)C)(F)(F)F>>[B-](OCCC[O+]=C(C)C)(F)(F)F 10=20;20,21=21",Lone to sigma*,,,,,
"[B-]([O+:21]1CC[N:10]([C:20]1(C)C)C)(F)(F)F>>[B-](OCC[N+](=C(C)C)C)(F)(F)F 10=20;20,21=21",Lone to sigma*,,,,,
"[B-]([O+:21](C)[C:20](C)(C)[N:10](C)C)(F)(F)F>>[B-](OC)(F)(F)F.CC(=[N+](C)C)C 10=20;20,21=21",Lone to sigma*,,,,,
"[CH-:10]1[CH:20]=[CH:21][C:22](=[O:23])O1>>c1cc(oc1)[O-] 10=20;20,21=21,22;22,23=23",Lone to pi*,,,,,
"[CH:22]1=[CH:23]O[C:20](=[CH:21]1)[O-:10]>>[cH-]1ccc(=O)o1 10=20;20,21=21,22;22,23=23",Lone to pi*,,,,,
"C1=CC=[N+:21](C=C1)[S:20](=O)(=O)[O-:10]>>c1ccncc1.O=S(=O)=O 10=20;20,21=21",Lone to sigma*,,,,,
"[CH2:20]=[O+:21][Cu]OS(=O)(C(F)(F)F)=O>>[CH2+:20][O:21][Cu]OS(=O)(C(F)(F)F)=O 20,21=21",Pi to pi*,dvv corrected 2/17/2021,,,,
"[CH:20](C)=[O+:21][Cu]>>[CH+:20](C)[O:21][Cu] 20,21=21",Pi to pi*,dvv modified 2/17/2021,,,,
"C[CH:20]=[O+:21][Fe-](Cl)(Cl)Cl>>C[CH+:20][O:21][Fe-](Cl)(Cl)Cl 20,21=21",Pi to pi*,dvv corrected 2/17/2021,,,,
"C[CH:20]=[O+:21][Fe](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O>>C[CH+:20][O:21][Fe](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O 20,21=21",Pi to pi*,dvv corrected 2/17/2021,,,,
"C[CH:20]=[O+:21][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O>>C[CH+:20][O:21][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O 20,21=21",Pi to pi*,dvv corrected 2/17/2021,,,,
"c9ccccc9[CH:20]=[O+:21][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O>>c9ccccc9[CH+:20][O:21][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O 20,21=21",Pi to pi*,dvv corrected 2/17/2021,,,,
"C[CH:20]=[O+:21][Sn-](Cl)(Cl)(Cl)Cl>>C[CH+:20][O:21][Sn-](Cl)(Cl)(Cl)Cl 20,21=21",Pi to pi*,dvv corrected 2/17/2021,,,,
"c9ccccc9[CH:20]=[O+:21][Sn-](Cl)(Cl)(Cl)Cl>>c9ccccc9[CH+:20][O:21][Sn-](Cl)(Cl)(Cl)Cl 20,21=21",Pi to pi*,dvv corrected 2/17/2021,,,,
"C[CH:20]=[O+:21][Ti-](Cl)(Cl)(Cl)Cl>>C[CH+:20][O:21][Ti-](Cl)(Cl)(Cl)Cl 20,21=21",Pi to pi*,dvv corrected 2/17/2021,,,,
"C[CH:20]=[O+:21][Ti-](Cl)(Cl)(Cl)OC(C)C>>C[CH+:20][O:21][Ti-](Cl)(Cl)(Cl)OC(C)C 20,21=21",Pi to pi*,dvv corrected 2/17/2021,,,,
"C[CH:20]=[O+:21][Zn-](Cl)Cl>>C[CH+:20][O:21][Zn-](Cl)Cl 20,21=21",Pi to pi*,dvv corrected 2/17/2021,,,,
"c9ccccc9[CH:20]=[O+:21][Zn-](Cl)Cl>>c9ccccc9[CH+:20][O:21][Zn-](Cl)Cl 20,21=21",Pi to pi*,dvv corrected 2/17/2021,,,,
"C(CO[C:20](=[O:21])N)[O-:10]>>C1COC(O1)(N)[O-] 10=20;20,21=21",Lone to pi*,,,,,
"C(CO[C:20](=[O:21])O)[O-:10]>>C1COC(O1)(O)[O-] 10=20;20,21=21",Lone to pi*,,,,,
"C1CO[C:20](N1)([O-:10])[Cl:21]>>C1COC(=O)N1.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1CO[C:20]([O:21]1)(N)[O-:10]>>C(COC(=O)N)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1CO[C:20](O1)([O-:10])[Cl:21]>>C1COC(=O)O1.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1CO[C:20]([O:21]1)(O)[O-:10]>>C(COC(=O)O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1CO[C:20](=[O:21])N1.[Cl-:10]>>C1COC(N1)([O-])Cl 10=20;20,21=21",Lone to pi*,,,,,
"C1CO[C:20](=[O:21])O1.[Cl-:10]>>C1COC(O1)([O-])Cl 10=20;20,21=21",Lone to pi*,,,,,
"C(C[O-:10])CO[C:20](=[O:21])N>>C1COC(OC1)(N)[O-] 10=20;20,21=21",Lone to pi*,,,,,
"C(C[O-:10])CO[C:20](=[O:21])O>>C1COC(OC1)(O)[O-] 10=20;20,21=21",Lone to pi*,,,,,
"C1CN[C:20](OC1)([O-:10])[Cl:21]>>C1CNC(=O)OC1.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1CN[C:20](=[O:21])OC1.[Cl-:10]>>C1CNC(OC1)([O-])Cl 10=20;20,21=21",Lone to pi*,,,,,
"C1CO[C:20]([O:21]C1)(N)[O-:10]>>C(C[O-])COC(=O)N 10=20;20,21=21",Lone to sigma*,,,,,
"C1CO[C:20](OC1)([O-:10])[Cl:21]>>C1COC(=O)OC1.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1CO[C:20]([O:21]C1)(O)[O-:10]>>C(C[O-])COC(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"C1CO[C:20](=[O:21])OC1.[Cl-:10]>>C1COC(OC1)([O-])Cl 10=20;20,21=21",Lone to pi*,,,,,
[CH2+:10][O:11][Cu]OS(=O)(C(F)(F)F)=O>>[CH2:10]=[O+:11][Cu]OS(=O)(C(F)(F)F)=O 11=10,Lone to empty,dvv replaced 2/18/21,,,,
[CH+:10](C)[O:11][Cu]>>[CH:10](C)=[O+:11][Cu] 11=10,Lone to empty,dvv replaced 2/18/21,,,,
C[CH+:10][O:11][Fe-](Cl)(Cl)Cl>>C[CH:10]=[O+:11][Fe-](Cl)(Cl)Cl 11=10,Lone to empty,dvv replaced 2/18/21,,,,
C[CH+:10][O:11][Fe](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O>>C[CH:10]=[O+:11][Fe](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O 11=10,Lone to empty,dvv replaced 2/18/21,,,,
C[CH+:10][O:11][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O>>C[CH:10]=[O+:11][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O 11=10,Lone to empty,dvv replaced 2/18/21,,,,
c9ccccc9[CH+:10][O:11][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O>>c9ccccc9[CH:10]=[O+:11][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O 11=10,Lone to empty,dvv replaced 2/18/21,,,,
C[CH+:10][O:11][Sn-](Cl)(Cl)(Cl)Cl>>C[CH:10]=[O+:11][Sn-](Cl)(Cl)(Cl)Cl 11=10,Lone to empty,dvv replaced 2/18/21,,,,
c9ccccc9[CH+:10][O:11][Sn-](Cl)(Cl)(Cl)Cl>>c9ccccc9[CH:10]=[O+:11][Sn-](Cl)(Cl)(Cl)Cl 11=10,Lone to empty,dvv replaced 2/18/21,,,,
C[CH+:10][O:11][Ti-](Cl)(Cl)(Cl)Cl>>C[CH:10]=[O+:11][Ti-](Cl)(Cl)(Cl)Cl 11=10,Lone to empty,dvv replaced 2/18/21,,,,
C[CH+:10][O:11][Ti-](Cl)(Cl)(Cl)OC(C)C>>C[CH:10]=[O+:11][Ti-](Cl)(Cl)(Cl)OC(C)C 11=10,Lone to empty,dvv replaced 2/18/21,,,,
C[CH+:10][O:11][Zn-](Cl)Cl>>C[CH:10]=[O+:11][Zn-](Cl)Cl 11=10,Lone to empty,dvv replaced 2/18/21,,,,
c9ccccc9[CH+:10][O:11][Zn-](Cl)Cl>>c9ccccc9[CH:10]=[O+:11][Zn-](Cl)Cl 11=10,Lone to empty,dvv replaced 2/18/21,,,,
C[C-:10](C)C.CC(=O)O[Si:20](C)(C)C>>CC(=O)O[Si-](C)(C)(C)C(C)(C)C 10=20,Lone to empty,,,,,
[O-:10]C(C)(C)C.C[Si:20](C)(C)[O+]=CC>>C(C)(C)(C)[O:10][Si-](C)(C)(C)[O+]=CC 10=20,Lone to empty,dvv replaced 2/18/21,,,,
C[C-:10](C)C.C[O+](C)[Si:20](C)(C)C>>CC(C)(C)[Si-](C)(C)(C)[O+](C)C 10=20,Lone to empty,,,,,
"C[C:21](C)(C)[Si-:20](C)(C)(C)[O+]=C>>C[C-](C)C.C[Si](C)(C)[O+]=C 20,21=21",Sigma to sigma*,,,,,
"C[C:21](C)(C)[Si-:20](C)(C)(C)[O+](C)C>>C[C-](C)C.C[O+](C)[Si](C)(C)C 20,21=21",Sigma to sigma*,,,,,
"C[C:20](C)([CH2:21]C=O)[O-:10]>>CC(=O)C.[CH2-]C=O 10=20;20,21=21",Lone to sigma*,,,,,
"C[C:20](C)([O-:10])[O:21]C>>CC(=O)C.C[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[C:20](C)([O:10]C)[O+:21](C)[Si](C)(C)C>>CC(=[O+]C)C.CO[Si](C)(C)C 10=20;20,21=21",Lone to sigma*,,,,,
"C[C:20](NC)([O-:10])[O:21]C>>CC(=O)NC.C[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[C:20](=[Br+:21])C.[Cl-:10]>>CC(C)(Cl)Br 10=20;20,21=21",Lone to pi*,,,,,
"CC(=[C-:20][N+:21]#N)C>>CC(=[C])C.N#N 20,21=21",Sigma to sigma*,,,,,
"CC(=[C-:10][N+:20]#[N:21])C>>CC(=C=[N+]=[N-])C 10=20;20,21=21",Lone to pi*,,,,,
"CC(=[C:21]=[N+:20]=[N-:10])C>>CC(=[C-][N+]#N)C 10=20;20,21=21",Lone to pi*,,,,,
"C[C:20](=[Cl+:21])C.[Br-:10]>>CC(C)(Cl)Br 10=20;20,21=21",Lone to pi*,,,,,
"C[C:20](=[N:21]N)C>>C[C+](C)[N-]N 20,21=21",Pi to pi*,,,,,
"C[C:20](=[N:21]O)C>>C[C+](C)[N-]O 20,21=21",Pi to pi*,,,,,
"C[C:20]1([O:10]CC[O+:21]1[Si](C)(C)C)C>>CC(=[O+]CCO[Si](C)(C)C)C 10=20;20,21=21",Lone to sigma*,,,,,
"C[C:20]1([O:10]CCC[O+:21]1[Si](C)(C)C)C>>CC(=[O+]CCCO[Si](C)(C)C)C 10=20;20,21=21",Lone to sigma*,,,,,
C[C+:20](C)[N-:10]N>>CC(=NN)C 10=20,Lone to empty,,,,,
C[C+:20](C)[N-:10]O>>CC(=NO)C 10=20,Lone to empty,,,,,
"C[CH:20]([C:21](Br)(Br)Br)[O-:10]>>CC=O.[C-](Br)(Br)Br 10=20;20,21=21",Lone to sigma*,,,,,
"C[CH:20]([C:21](Cl)(Cl)Cl)[O-:10]>>CC=O.[C-](Cl)(Cl)Cl 10=20;20,21=21",Lone to sigma*,,,,,
"C[CH:20]([C:21](I)(I)I)[O-:10]>>CC=O.[C-](I)(I)I 10=20;20,21=21",Lone to sigma*,,,,,
"CC([O-:10])OCC[C:20](=[O:21])OC>>CC1OCCC(O1)([O-])OC 10=20;20,21=21",Lone to pi*,,,,,
"C[CH:20]([O-:10])[O:21]P(=O)(O)O>>CC=O.OP(=O)(O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[CH:20]([O-:10])[O:21]S(=O)(=O)C(F)(F)F>>CC=O.C(F)(F)(F)S(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[CH:20]([O-:10])[O:21]S(=O)(=O)C>>CC=O.CS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[CH:20]([O-:10])[O:21]S(=O)(=O)O>>CC=O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[CH:20]([O-:10])[S:21](=O)(=O)O>>CC=O.O[S-](=O)=O 10=20;20,21=21",Lone to sigma*,,,,,
"C[CH:20]([O:10]C)[O+:21](C)[Si](C)(C)C>>CC=[O+]C.CO[Si](C)(C)C 10=20;20,21=21",Lone to sigma*,,,,,
"C[CH:20]=[F+:21].[F-:10]>>CC(F)F 10=20;20,21=21",Lone to pi*,,,,,
"C[CH:20]=[O:21].C[N:10](C)C>>CC([N+](C)(C)C)[O-] 10=20;20,21=21",Lone to pi*,,,,,
"C[CH:20]=[O:21].OP(=O)(O)[O-:10]>>CC([O-])OP(=O)(O)O 10=20;20,21=21",Lone to pi*,,,,,
"CC1C[CH+:20][CH2:10][Si-:11]2(O1)(N(CCN2C)C)Cl>>CC(CC=C)O[Si]1(N(CCN1C)C)Cl 10,11=10,20",Sigma to empty,,,,,
"CC1OCC[C:20](O1)([O-:10])[O:21]C>>CC1OCCC(=O)O1.C[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC1OCC[C:20](=[O:21])O1.C[O-:10]>>CC1OCCC(O1)([O-])OC 10=20;20,21=21",Lone to pi*,,,,,
"CC1OCC[C:20]([O:21]1)([O-:10])OC>>CC([O-])OCCC(=O)OC 10=20;20,21=21",Lone to sigma*,,,,,
"C[CH:20]1[O:10]CC[O+:21]1[Si](C)(C)C>>CC=[O+]CCO[Si](C)(C)C 10=20;20,21=21",Lone to sigma*,,,,,
"C[CH:20]1[O:10]CCC[O+:21]1[Si](C)(C)C>>CC=[O+]CCCO[Si](C)(C)C 10=20;20,21=21",Lone to sigma*,,,,,
C[N-:10]C.C[Si:20](C)(C)OS(=O)(=O)C>>CN(C)[Si-](C)(C)(C)OS(=O)(=O)C 10=20,Lone to empty,,,,,
C[N-:10]C.C[Si:20](C)(C)Cl>>CN(C)[Si-](C)(C)(C)Cl 10=20,Lone to empty,,,,,
CC(C)O.CC(C)(C)[Si:20](C)(C)Cl.CN(C)C=[O:10].C1=CN=CN1>>CC(C)O.CC(C)(C)[Si-:20](C)(C)([O+:10]=CN(C)C)Cl.C1=CN=CN1 10=20,Lone to empty,dvv changed 11/4/22,,,,
"CC(C)O.CC(C)(C)[Si-:20](C)(C)([O+]=CN(C)C)[Cl:21].C1=CN=CN1>>CC(C)O.CC(C)(C)[Si:20](C)(C)[O+]=CN(C)C.C1=CN=CN1.[Cl-:21] 20,21=21",Sigma to sigma*,dvv changed 11/4/22,,,,
CC(C)[OH:10].CC(C)(C)[Si:20](C)(C)[O+]=CN(C)C.C1=CN=CN1.[Cl-]>>CC(C)[OH+:10][Si-:20](C)(C)(C(C)(C)C)[O+]=CN(C)C.C1=CN=CN1.[Cl-] 10=20,Lone to empty,dvv changed 11/4/22,,,,
"CC([O+:21]([H:20])[Si-](C)(C(C)(C)C)([O+]=CN(C)C)C)C.C1=C[N:10]=CN1.[Cl-]>>CC([O:21][Si-](C)(C(C)(C)C)([O+]=CN(C)C)C)C.[H:20][N+:10]2=CNC=C2.[Cl-] 10=20;20,21=21",Lone to sigma*,dvv changed 11/4/22,,,,
"CC(C)O[Si-:20](C)(C)(C(C)(C)C)[O+:21]=CN(C)C.C1=C[NH+]=CN1.[Cl-]>>CC(C)O[Si:20](C)(C)C(C)(C)C.CN(C)C=[O:21].C1=C[NH+]=CN1.[Cl-] 20,21=21",Sigma to sigma*,dvv changed 11/4/22,,,,
CC(C1=C2C=CC=CC2=CC=C1)O.CC(C)(C)[Si:20](C)(C)Cl.CN(C)C1=CC=[N:10]C=C1>>CC(C1=C2C=CC=CC2=CC=C1)O.CC(C)(C)[Si-:20](C)(C)([N+:10]1=CC=C(C=C1)N(C)C)Cl 10=20,Lone to empty,dvv changed 11/4/22,,,,
CNC=[N:10]C.C[Si:20](C)(C)Cl>>CNC=[N+](C)[Si-](C)(C)(C)Cl 10=20,Lone to empty,,,,,
"CNC=[N+:21](C)[Si-:20](C)(C)(C)Cl>>CNC=NC.C[Si](C)(C)Cl 20,21=21",Sigma to sigma*,,,,,
"CO[C:20]([O-:10])(OC)[O:21]C>>C[O-].COC(=O)OC 10=20;20,21=21",Lone to sigma*,,,,,
"CO[P:10](OC)OC.[Br:20][Br:21].c1ccncc1.CC1C(C(OC2C1OC(OC2)c3ccc(cc3)OC)O)C>>CO[P+](OC)(OC)Br.[Br-].c1ccncc1.CC1C(C(OC2C1OC(OC2)c3ccc(cc3)OC)O)C 10=20;20,21=21",Lone to sigma*,,,,,
"CO[P:10](OC)OC.[CH3:20][Br:21]>>CO[P+](C)(OC)OC.[Br-] 10=20;20,21=21",Lone to sigma*,,,,,
"CO[P:10](OC)OC.[CH3:20][Cl:21]>>CO[P+](C)(OC)OC.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"CO[P:10](OC)OC.[CH3:20][I:21]>>CO[P+](C)(OC)OC.[I-] 10=20;20,21=21",Lone to sigma*,,,,,
"CO[P:10](OC)OC.[Cl:20][Cl:21]>>CO[P+](OC)(OC)Cl.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"CO[P:10](OC)OC.[I:20][I:21]>>CO[P+](OC)(OC)I.[I-] 10=20;20,21=21",Lone to sigma*,,,,,
"CO[P+:22](C)(OC)[O:21][CH3:20].[Br-:10]>>COP(=O)(C)OC.CBr 10=20;20,21=21,22",Lone to sigma*,,,,,
"CO[P+:22](C)(OC)[O:21][CH3:20].[Cl-:10]>>COP(=O)(C)OC.CCl 10=20;20,21=21,22",Lone to sigma*,,,,,
"CO[P+:22](C)(OC)[O:21][CH3:20].[I-:10]>>COP(=O)(C)OC.CI 10=20;20,21=21,22",Lone to sigma*,,,,,
"CO[Si-:20](C)(C)(C)[O:21]S(=O)(=O)C>>CO[Si](C)(C)C.CS(=O)(=O)[O-] 20,21=21",Sigma to sigma*,,,,,
CO[Si:20](C)(C)C.CS(=O)(=O)[O-:10]>>CO[Si-](C)(C)(C)OS(=O)(=O)C 10=20,Lone to empty,,,,,
"C[P:10](C)C.[Br:20][Br:21]>>C[P+](C)(C)Br.[Br-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[P:10](C)C.[C:21](Br)(Br)(Br)[Br:20]>>C[P+](C)(C)Br.[C-](Br)(Br)Br 10=20;20,21=21",Lone to sigma*,,,,,
"C[P:10](C)C.[C:21](Cl)(Cl)(Cl)[Cl:20]>>C[P+](C)(C)Cl.[C-](Cl)(Cl)Cl 10=20;20,21=21",Lone to sigma*,,,,,
"C[P:10](C)C.[C:21](I)(I)(I)[I:20]>>C[P+](C)(C)I.[C-](I)(I)I 10=20;20,21=21",Lone to sigma*,,,,,
"C[P+](C)(C)[C:21](Br)(Br)[Br:20].C[P:10](C)C>>C[P+](C)(C)[C-](Br)Br.C[P+](C)(C)Br 10=20;20,21=21",Lone to sigma*,,,,,
"C[P:10](C)C.C[S:20][S:21]C>>C[P+](C)(C)SC.C[S-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[P:10](C)C.[Cl:20][Cl:21]>>C[P+](C)(C)Cl.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[P:10](C)C.[I:20][I:21]>>C[P+](C)(C)I.[I-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[P:10](C)C.[OH:21][Cl:20]>>C[P+](C)(C)Cl.[OH-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[P:10](C)C.[CH:22](=[O:23])[N:21]=[NH:20]>>C[P+](C)(C)NN=C[O-] 10=20;20,21=21,22;22,23=23",Lone to pi*,,,,,
"C[P+:21](C)(C)[Mg:20]Br>>CP(C)C.[Mg+]Br 20,21=21",Sigma to sigma*,,,,,
"C[P+:21](C)(C)[Mg:20]Cl>>CP(C)C.[Mg+]Cl 20,21=21",Sigma to sigma*,,,,,
"C[P+:21](C)(C)[Mg:20]I>>CP(C)C.[Mg+]I 20,21=21",Sigma to sigma*,,,,,
"C[P+:21](C)(C)[CH2:20][CH:10]=[CH:11][O-:12]>>CP(C)C.C=CC=O 10,11=10,20;12=11;20,21=21",Pi to sigma*,,,,,
"C[P+:21](C)(C)[NH:20][N:10]=[CH:11][O-:12]>>CP(C)C.C(=O)N=N 10,11=10,20;12=11;20,21=21",Pi to sigma*,,,,,
"C[P+:22](C)(C)[O:21][CH2:20]C[NH2:10]>>CP(=O)(C)C.C1C[NH2+]1 10=20;20,21=21,22",Lone to sigma*,,,,,
"C[P+:21]([Mg:20]Br)(Cl)Cl>>CP(Cl)Cl.[Mg+]Br 20,21=21",Sigma to sigma*,,,,,
"C[P+:21]([Mg:20]Cl)(Cl)Cl>>CP(Cl)Cl.[Mg+]Cl 20,21=21",Sigma to sigma*,,,,,
"C[P+:21]([Mg:20]I)(Cl)Cl>>CP(Cl)Cl.[Mg+]I 20,21=21",Sigma to sigma*,,,,,
"C[S-:10].C[S:20][Br:21]>>CSSC.[Br-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S-:10].C[S:20][Cl:21]>>CSSC.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S-:10].C[S:20][I:21]>>CSSC.[I-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S-:10].C[S:20][S:21]C>>C[S-].CSSC 10=20;20,21=21",Lone to sigma*,,,,,
"C[S:10]C[CH2:20][Br:21]>>C[S+]1CC1.[Br-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S:10]C[CH2:20][Cl:21]>>C[S+]1CC1.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S:10]C[CH2:20][I:21]>>C[S+]1CC1.[I-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S:10]C.[Br:20][Br:21]>>C[S+](C)Br.[Br-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S:10]C.C1=CC=C(C=C1)[S:20][C:21]#N>>C[S+](C)Sc1ccccc1.[C-]#N 10=20;20,21=21",Lone to sigma*,,,,,
"C[S:10]C.C[S:20][Br:21]>>CS[S+](C)C.[Br-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S:10]C.C[S:20][Cl:21]>>CS[S+](C)C.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S:10]C.C[S:20][I:21]>>CS[S+](C)C.[I-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S:10]C.[Cl:20][Cl:21]>>C[S+](C)Cl.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S:10]C.[I:20][I:21]>>C[S+](C)I.[I-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S:10]C.[OH:21][Cl:20]>>C[S+](C)Cl.[OH-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[S+](C)[CH2-:10].[CH2:20]=[O:21]>>C[S+](C)CC[O-] 10=20;20,21=21",Lone to pi*,,,,,
"C[S+:21](C)[CH2:20]C[O-:10]>>CSC.C1CO1 10=20;20,21=21",Lone to sigma*,,,,,
"C[S+](C)O[C:20](C(=O)Cl)([O-:10])[Cl:21]>>C[S+](C)OC(=O)C(=O)Cl.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
C[S+:20](C)OC(=O)C(=O)Cl.[Cl-:10]>>CS(C)(OC(=O)C(=O)Cl)Cl 10=20,Lone to empty,,,,,
C[S+:20](C)Br.[Br-:10]>>CS(C)(Br)Br 10=20,Lone to empty,,,,,
C[S+:20](C)Cl.[Cl-:10]>>CS(C)(Cl)Cl 10=20,Lone to empty,,,,,
C[S+:20](C)Cl.[OH-:10]>>CS(C)(O)Cl 10=20,Lone to empty,,,,,
C[S+:20](C)I.[I-:10]>>CS(C)(I)I 10=20,Lone to empty,,,,,
"C[S+:21]1C[CH2:20]1.[Br-:10]>>CSCCBr 10=20;20,21=21",Lone to sigma*,,,,,
"C[S+:21]1C[CH2:20]1.[Cl-:10]>>CSCCCl 10=20;20,21=21",Lone to sigma*,,,,,
"C[S+:21]1C[CH2:20]1.[I-:10]>>CSCCI 10=20;20,21=21",Lone to sigma*,,,,,
"C[Si-:20](C)(C)(OS(=O)(=O)C)[Cl:21]>>C[Si](C)(C)OS(=O)(=O)C.[Cl-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)([O:21]S(=O)(=O)C)Br>>C[Si](C)(C)Br.CS(=O)(=O)[O-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)([O:21]S(=O)(=O)C)Cl>>C[Si](C)(C)Cl.CS(=O)(=O)[O-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)([O:21]S(=O)(=O)C)F>>C[Si](C)(C)F.CS(=O)(=O)[O-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)([O:21]S(=O)(=O)C)I>>C[Si](C)(C)I.CS(=O)(=O)[O-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)(OS(=O)(=O)C)[O+:21]=C>>C[Si](C)(C)OS(=O)(=O)C.C=O 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)(OS(=O)(=O)C)[O:21]S(=O)(=O)C>>C[Si](C)(C)OS(=O)(=O)C.CS(=O)(=O)[O-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)(C=C=C)[F:21]>>C[Si](C)(C)C=C=C.[F-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)(CC#C)[F:21]>>C[Si](C)(C)CC#C.[F-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)(CC=C)[F:21]>>C[Si](C)(C)CC=C.[F-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)(Cl)[Br:21]>>C[Si](C)(C)Cl.[Br-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)([F:21])Cl>>C[Si](C)(C)Cl.[F-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)(Cl)[I:21]>>C[Si](C)(C)Cl.[I-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)([Cl:21])Br>>C[Si](C)(C)Br.[Cl-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)(F)[Cl:21]>>C[Si](C)(C)F.[Cl-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)([Cl:21])I>>C[Si](C)(C)I.[Cl-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)([O+]=C)[Br:21]>>C[Si](C)(C)[O+]=C.[Br-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)([O+]=C)[Cl:21]>>C[Si](C)(C)[O+]=C.[Cl-] 20,21=21",Sigma to sigma*,,,,,
"C[Si-:20](C)(C)([O+]=C)[F:21]>>C[Si](C)(C)[O+]=C.[F-] 20,21=21",Sigma to sigma*,,,,,
